"id","amount","date","category","note","paymentMethod"
1,45.80,2026-01-03,"Groceries","Weekly supermarket shopping",CARD
2,1200.00,2026-01-01,"Rent","January apartment rent",BANK_TRANSFER
3,15.50,2026-01-05,"Transportation","Uber ride to office",CARD
4,89.99,2026-01-07,"Utilities","Electricity bill",CARD
5,23.40,2026-01-08,"Dining","Lunch with client",CARD
6,60.00,2026-01-10,"Internet","Monthly internet subscription",BANK_TRANSFER
7,150.75,2026-01-12,"Shopping","New office chair",CARD
8,9.99,2026-01-13,"Entertainment","Streaming subscription",CARD
9,35.20,2026-01-15,"Fuel","Gas refill",CARD
10,250.00,2026-01-18,"Insurance","Car insurance premium",BANK_TRANSFER
11,18.75,2026-01-20,"Health","Pharmacy purchase",CASH
12,72.30,2026-01-22,"Groceries","Mid-week grocery run",UPI
13,40.00,2026-01-24,"Fitness","Gym membership",CARD
14,12.99,2026-01-25,"Software","Cloud storage subscription",CARD
15,95.00,2026-01-27,"Education","Online course fee",UPI
